BIN,IssuingCountry,ChargebackFlag
301455,UNITED STATES,0.0
301483,UNITED STATES,0.0
301506,UNITED STATES,0.0
301528,UNITED STATES,0.0
301533,UNITED STATES,0.0
301537,UNITED STATES,0.0
301544,UNITED STATES,0.0
301550,UNITED STATES,0.0
301573,UNITED STATES,0.0
301574,UNITED STATES,0.0
301576,UNITED STATES,0.0
301580,UNITED STATES,0.0
301596,UNITED STATES,0.0
301599,UNITED STATES,0.0
301601,UNITED STATES,0.0
301608,UNITED STATES,0.0
301614,UNITED STATES,0.0
301627,UNITED STATES,0.0
301655,UNITED STATES,0.0
301657,UNITED STATES,1.0
301658,UNITED STATES,0.0
301660,UNITED STATES,0.0
301675,UNITED STATES,0.0
301691,UNITED STATES,0.0
301697,UNITED STATES,0.0
301719,UNITED STATES,0.0
301730,UNITED STATES,0.0
301731,UNITED STATES,0.0
301754,UNITED STATES,0.0
301766,UNITED STATES,0.0
301797,UNITED STATES,0.0
301808,BRAZIL,0.0
301813,UNITED STATES,0.0
301839,UNITED STATES,0.0
301842,UNITED STATES,0.0
301844,UNITED STATES,0.0
301846,UNITED STATES,0.0
301860,UNITED STATES,0.0
301864,UNITED STATES,0.0
301867,UNITED STATES,0.0
301871,UNITED STATES,0.0
301876,UNITED STATES,0.0
301877,UNITED STATES,0.0
301892,UNITED STATES,0.0
301914,UNITED STATES,0.0
301928,UNITED STATES,0.0
301933,UNITED STATES,0.0
301936,UNITED STATES,0.0
301956,UNITED STATES,0.0
301966,UNITED STATES,0.0
301983,UNITED STATES,0.0
301984,UNITED STATES,0.0
301990,UNITED STATES,0.0
301992,UNITED STATES,0.0
301994,UNITED STATES,0.0
301998,UNITED STATES,0.0
302007,UNITED STATES,0.0
302010,UNITED STATES,0.0
302023,UNITED STATES,0.0
302038,UNITED STATES,0.0
302041,UNITED STATES,0.0
302050,UNITED STATES,0.0
302056,UNITED STATES,0.0
302057,BRAZIL,0.0
302058,UNITED STATES,0.0
302059,UNITED STATES,0.0
302062,UNITED STATES,0.0
302082,UNITED STATES,0.0
302083,UNITED STATES,0.0
302085,UNITED STATES,0.0
302086,UNITED STATES,0.0
302127,UNITED STATES,0.0
302129,UNITED STATES,0.0
302132,UNITED STATES,0.0
302147,UNITED STATES,0.0
302153,UNITED STATES,0.0
302162,UNITED STATES,0.0
302163,BRAZIL,0.0
302165,UNITED STATES,0.0
302170,UNITED STATES,0.0
302175,UNITED STATES,0.0
302177,UNITED STATES,0.0
302178,UNITED STATES,0.0
302181,UNITED STATES,0.0
302185,RUSSIAN FEDERATION,0.0
302205,UNITED STATES,0.0
302235,UNITED STATES,0.0
302237,UNITED STATES,0.0
302241,UNITED STATES,0.0
302242,UNITED STATES,0.0
302260,UNITED STATES,0.0
302271,UNITED STATES,0.0
302290,UNITED STATES,0.0
302298,UNITED STATES,0.0
302321,UNITED STATES,0.0
302331,UNITED STATES,0.0
302333,UNITED STATES,1.0
302336,UNITED STATES,0.0
302337,UNITED STATES,0.0
302341,UNITED STATES,0.0
